location,bhk,built_up_area,transaction,status,furnishing,facing,bathroom,floor_category,luxury_category,price
vesu,3,1267,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,1.31
vesu,3,1031,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.76
althan,3,1177,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.81
vesu,3,1287,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.9
vesu,3,1287,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.95
vesu,3,1122,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.75
vesu,3,1168,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.84
vesu,3,1169,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.8
vesu,3,1155,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.89
vesu,3,1179,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.85
vesu,3,1667,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,1.29
althan,3,1122,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.84
althan,3,1155,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.94
vesu,3,1221,Resale,Ready to Move,Unfurnished,North - East,2,Low Floor,Medium,0.91
vesu,3,1364,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,1.2
vesu,2,825,Resale,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.67
vesu,3,1419,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.85
vesu,2,794,Resale,Ready to Move,Unfurnished,North - East,1,High Floor,Medium,0.64
vesu,3,1102,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.8
vesu,3,1172,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.86
vesu,2,891,Resale,Ready to Move,Unfurnished,North - East,1,Low Floor,Low,0.6
vesu,3,1320,Resale,Ready to Move,Unfurnished,North - East,2,High Floor,Medium,0.84
althan,2,842,Resale,Ready to Move,Unfurnished,North - East,1,High Floor,Medium,0.63
althan,2,898,Resale,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.65
vesu,3,1168,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.9
althan,3,1340,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.9
vesu,3,1564,New Property,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,1.42
vesu,4,1755,New Property,Under Construction,Unfurnished,North - East,3,Mid Floor,Medium,1.59
vesu,3,1430,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,1.36
vesu,5,3388,New Property,Under Construction,Unfurnished,East,4,Mid Floor,Medium,4.2
vesu,4,4000,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,3.2
pal,4,3970,New Property,Under Construction,Unfurnished,East,3,High Floor,Medium,2.52
vesu,4,2962,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.77
pal,4,3261,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.79
pal,4,3200,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.76
pal,4,2310,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.8
vesu,5,3630,Resale,Ready to Move,Furnished,North - East,4,Mid Floor,Medium,4.1
vesu,4,3500,Resale,Under Construction,Unfurnished,East,3,High Floor,Medium,2.61
vesu,4,3513,Resale,Ready to Move,Unfurnished,North - West,3,High Floor,Medium,2.47
vesu,4,3047,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.86
vesu,3,2565,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,1.66
pal,4,2013,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,2.21
vesu,4,4000,New Property,Under Construction,Unfurnished,East,3,High Floor,Medium,2.85
vesu,4,2540,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.39
vesu,3,1575,Resale,Ready to Move,Unfurnished,South,2,Mid Floor,Medium,1.7
vesu,4,5500,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,3.96
vesu,4,3400,Resale,Ready to Move,Unfurnished,South -West,3,Mid Floor,Medium,2.38
vesu,4,2304,Resale,Ready to Move,Unfurnished,East,3,High Floor,Medium,2.99
vesu,4,4050,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,2.95
dumas road/hazira,5,11250,New Property,Under Construction,Unfurnished,East,4,Mid Floor,High,12.93
vesu,4,3850,New Property,Ready to Move,Unfurnished,South -West,3,Mid Floor,Medium,2.88
vesu,4,3400,Resale,Ready to Move,Unfurnished,South -West,3,High Floor,Medium,1.95
vesu,4,3700,New Property,Ready to Move,Furnished,South - East,3,Mid Floor,Medium,4.0
dumas road/hazira,5,11250,New Property,Under Construction,Unfurnished,East,4,Mid Floor,High,14.0
vesu,6,5872,Resale,Under Construction,Unfurnished,East,5,High Floor,High,5.72
vesu,3,2580,Resale,Ready to Move,Unfurnished,East,2,Low Floor,Medium,1.72
vesu,4,2750,Resale,Ready to Move,Furnished,North,3,Mid Floor,Medium,2.15
vesu,3,2735,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.65
vesu,3,3000,Resale,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,1.95
vesu,4,3336,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,2.35
vesu,4,2420,Resale,Ready to Move,Unfurnished,North,3,High Floor,Medium,3.66
pal,4,3240,New Property,Under Construction,Unfurnished,East,3,High Floor,Medium,1.68
vesu,5,2640,New Property,Ready to Move,Unfurnished,North - East,4,Mid Floor,Medium,2.82
pal,4,3294,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.63
pal,5,4378,Resale,Under Construction,Unfurnished,East,4,Mid Floor,Medium,2.51
vesu,4,1925,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.73
vesu,4,3704,New Property,Under Construction,Unfurnished,East,3,Low Floor,Medium,2.01
vesu,3,4500,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,3.1
vesu,6,6130,Resale,Ready to Move,Unfurnished,North - West,5,High Floor,High,2.85
vesu,5,9450,New Property,Ready to Move,Unfurnished,East,4,Mid Floor,High,5.0
pal,4,2750,Resale,Ready to Move,Unfurnished,South -West,3,Mid Floor,Medium,2.17
vesu,5,5500,Resale,Ready to Move,Unfurnished,North - West,4,Mid Floor,Medium,7.0
vesu,4,3410,New Property,Ready to Move,Unfurnished,North,3,Mid Floor,Medium,2.51
vesu,3,3300,New Property,Under Construction,Unfurnished,North - West,2,Mid Floor,Medium,2.0
vesu,4,3876,Resale,Ready to Move,Unfurnished,North - West,3,Mid Floor,Medium,2.32
pal,4,2369,Resale,Ready to Move,Unfurnished,North - West,3,Mid Floor,Medium,2.5
vesu,4,3780,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,2.17
vesu,4,2640,Resale,Ready to Move,Furnished,West,3,Mid Floor,Medium,2.1
dumas road/hazira,4,3900,Resale,Ready to Move,Semi-Furnished,North - West,3,Mid Floor,Medium,2.34
vesu,4,2310,Resale,Ready to Move,Furnished,North - West,3,Mid Floor,Medium,3.31
althan,4,3882,Resale,Ready to Move,Unfurnished,North - West,3,Mid Floor,Medium,2.73
vesu,4,3507,New Property,Under Construction,Unfurnished,North - West,3,Low Floor,Medium,2.0
pal,4,3740,Resale,Ready to Move,Semi-Furnished,East,3,Mid Floor,Medium,2.7
dumas road/hazira,3,3412,Resale,Ready to Move,Furnished,West,2,Mid Floor,Medium,1.75
adajan,4,2950,Resale,Ready to Move,Furnished,North - West,3,Mid Floor,Medium,1.7
vesu,4,3080,Resale,Ready to Move,Unfurnished,South,3,Low Floor,Medium,2.4
dumas road/hazira,6,2750,New Property,Ready to Move,Semi-Furnished,East,5,Mid Floor,Medium,2.51
vesu,4,3135,Resale,Ready to Move,Furnished,South -West,3,High Floor,Medium,2.5
vesu,5,6490,Resale,Ready to Move,Unfurnished,South - East,4,Mid Floor,Medium,4.08
vesu,5,5830,Resale,Ready to Move,Unfurnished,East,4,High Floor,Medium,2.72
vesu,5,2640,Resale,Ready to Move,Unfurnished,East,4,High Floor,Medium,2.51
vesu,5,1980,Resale,Under Construction,Unfurnished,North - West,4,High Floor,Medium,3.6
althan,5,3520,Resale,Ready to Move,Unfurnished,North - East,4,Mid Floor,Medium,3.49
vesu,4,3215,Resale,Ready to Move,Unfurnished,East,3,High Floor,Medium,1.9
vesu,5,5600,New Property,Under Construction,Unfurnished,East,4,Mid Floor,Medium,3.58
vesu,4,4491,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,3.05
pal,4,3770,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.2
vesu,4,4452,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.8
pal,4,3067,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.79
vesu,3,2750,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.66
vesu,4,3373,New Property,Ready to Move,Unfurnished,South -West,3,Mid Floor,Medium,1.94
vesu,4,2949,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.77
vesu,5,7150,New Property,Ready to Move,Unfurnished,East,4,Mid Floor,High,5.57
dumas road/hazira,4,2420,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,3.4
vesu,4,3420,New Property,Ready to Move,Unfurnished,South,3,Mid Floor,Medium,1.77
vesu,4,3400,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.93
vesu,3,2750,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,1.62
dumas road/hazira,4,2294,New Property,Under Construction,Unfurnished,East,3,High Floor,Medium,3.22
vesu,5,6000,New Property,Under Construction,Unfurnished,South -West,4,Mid Floor,Medium,4.3
vesu,4,3551,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,2.28
vesu,4,2962,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,1.77
vesu,3,2700,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,1.62
vesu,5,3300,New Property,Ready to Move,Unfurnished,South -West,4,Mid Floor,Medium,3.63
vesu,4,3500,Resale,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.99
vesu,4,3577,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,2.32
vesu,4,3636,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,2.61
vesu,4,3150,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,2.04
vesu,4,3119,New Property,Ready to Move,Unfurnished,West,3,Mid Floor,Medium,3.5
pal,4,3800,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.94
vesu,4,2200,New Property,Ready to Move,Unfurnished,North - East,3,Mid Floor,Medium,2.36
vesu,5,4345,Resale,Ready to Move,Unfurnished,East,4,Mid Floor,Medium,5.25
vesu,4,2090,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.88
vesu,6,6130,Resale,Ready to Move,Unfurnished,North - West,5,High Floor,High,2.75
pal,5,4125,Resale,Ready to Move,Unfurnished,South -West,4,Mid Floor,Medium,2.51
vesu,4,3133,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.25
vesu,4,3376,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.97
pal,5,6400,New Property,Under Construction,Unfurnished,East,4,High Floor,High,4.03
athwalines,4,4900,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,3.08
pal,4,3513,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.91
vesu,3,2650,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,1.64
vesu,5,2996,New Property,Under Construction,Unfurnished,South -West,4,Mid Floor,Medium,3.53
vesu,4,3100,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,2.0
vesu,5,3432,New Property,Under Construction,Unfurnished,East,4,Mid Floor,Medium,3.23
vesu,4,3800,New Property,Under Construction,Unfurnished,West,3,Mid Floor,Medium,2.01
dumas road/hazira,4,2980,Resale,Ready to Move,Furnished,East,3,Low Floor,Medium,1.8
vesu,4,3153,Resale,Ready to Move,Unfurnished,East,3,High Floor,Medium,1.73
vesu,4,3200,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.93
dumas road/hazira,4,2294,New Property,Under Construction,Unfurnished,East,3,High Floor,Medium,3.26
pal,4,3600,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.01
vesu,4,3300,Resale,Ready to Move,Furnished,North,3,Mid Floor,Medium,4.31
vesu,4,3767,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.25
dumas road/hazira,4,2750,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,3.7
vesu,5,3575,New Property,Under Construction,Unfurnished,East,4,Mid Floor,Medium,4.42
vesu,3,2650,Resale,Ready to Move,Unfurnished,East,2,High Floor,Medium,1.72
althan,4,3671,New Property,Ready to Move,Unfurnished,East,3,High Floor,Medium,1.9
vesu,3,2493,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.63
vesu,4,3113,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,2.07
vesu,4,2057,New Property,Ready to Move,Unfurnished,North - East,3,Mid Floor,Medium,1.86
adajan,4,2046,Resale,Ready to Move,Furnished,East,3,Mid Floor,Medium,2.51
adajan,5,3850,Resale,Ready to Move,Unfurnished,South -West,4,Mid Floor,Medium,3.75
adajan,4,2462,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.48
vesu,4,4000,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.88
vesu,4,2750,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.8
vesu,5,8000,New Property,Under Construction,Unfurnished,East,4,High Floor,High,5.04
vesu,4,3401,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.9
vesu,4,3400,New Property,Under Construction,Unfurnished,North,3,Mid Floor,Medium,1.97
vesu,4,5460,Resale,Ready to Move,Furnished,South -West,3,Low Floor,Medium,4.5
vesu,5,3108,New Property,Ready to Move,Unfurnished,East,4,Mid Floor,Medium,3.6
vesu,4,2222,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.16
vesu,3,3000,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.95
dumas road/hazira,4,2244,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.26
vesu,4,1988,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.89
vesu,4,3200,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.9
vesu,3,3000,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,2.4
dumas road/hazira,5,5000,New Property,Under Construction,Unfurnished,East,4,Mid Floor,Medium,5.0
vesu,4,4545,Resale,Ready to Move,Furnished,East,3,Mid Floor,Medium,4.0
althan,4,3087,New Property,Under Construction,Unfurnished,East,3,Low Floor,Medium,1.72
vesu,4,4500,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,2.7
pal,4,1980,Resale,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.72
vesu,4,3515,Resale,Ready to Move,Furnished,East,3,Mid Floor,Medium,2.5
vesu,3,2800,New Property,Ready to Move,Unfurnished,South - East,2,Mid Floor,Medium,1.68
vesu,4,3000,Resale,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,1.95
vesu,3,2493,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,1.63
vesu,4,2123,New Property,Ready to Move,Unfurnished,North - East,3,Mid Floor,Medium,2.28
pal,4,2200,Resale,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.84
adajan,5,4565,Resale,Ready to Move,Unfurnished,South -West,4,Mid Floor,Medium,4.99
adajan,4,1855,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.65
vesu,4,2541,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.43
vesu,4,3800,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.16
pal,5,4600,New Property,Under Construction,Unfurnished,South -West,4,High Floor,Medium,2.3
adajan,4,3415,New Property,Under Construction,Unfurnished,North - East,3,Mid Floor,Medium,1.62
vesu,4,3800,New Property,Ready to Move,Unfurnished,North,3,Mid Floor,Medium,2.54
vesu,4,5460,Resale,Ready to Move,Unfurnished,South -West,3,Low Floor,Medium,4.5
dumas road/hazira,4,3600,New Property,Ready to Move,Unfurnished,South -West,3,Mid Floor,Medium,1.62
vesu,4,2420,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,2.59
vesu,4,4000,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.99
dumas road/hazira,4,2176,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.19
vesu,4,3369,Resale,Ready to Move,Unfurnished,South -West,3,Mid Floor,Medium,2.26
vesu,4,3336,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.21
vesu,4,2109,Resale,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.77
vesu,4,3603,Resale,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,2.75
vesu,4,3551,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.27
pal,4,2200,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.1
vesu,5,3207,Resale,Under Construction,Unfurnished,East,4,Mid Floor,Medium,3.02
althan,4,4590,New Property,Ready to Move,Unfurnished,North - East,3,Low Floor,Medium,2.62
vesu,4,3400,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.9
vesu,3,2742,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,1.72
vesu,4,2035,Resale,Ready to Move,Unfurnished,North - East,3,Mid Floor,Medium,2.0
adajan,4,1857,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.7
vesu,4,3510,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,2.39
pal,4,3800,New Property,Under Construction,Unfurnished,South -West,3,High Floor,Medium,1.9
vesu,4,3152,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.64
vesu,5,7150,Resale,Ready to Move,Unfurnished,South -West,4,Low Floor,High,8.6
vesu,4,3047,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,1.67
vesu,4,2013,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.73
vesu,5,5800,New Property,Under Construction,Unfurnished,East,4,Mid Floor,Medium,4.0
dumas road/hazira,4,2163,New Property,Under Construction,Unfurnished,West,3,Mid Floor,Medium,2.18
vesu,4,3420,New Property,Ready to Move,Unfurnished,South,3,Mid Floor,Medium,1.89
vesu,4,2640,Resale,Under Construction,Unfurnished,North,3,Mid Floor,Medium,2.76
vesu,3,1418,Resale,Ready to Move,Furnished,East,2,Low Floor,Medium,1.75
dumas road/hazira,4,4000,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.8
vesu,4,3636,New Property,Ready to Move,Unfurnished,South -West,3,Mid Floor,Medium,2.36
vesu,3,2830,New Property,Ready to Move,Unfurnished,West,2,High Floor,Medium,2.08
pal,5,3520,New Property,Under Construction,Unfurnished,East,4,Mid Floor,Medium,2.7
vesu,5,3190,New Property,Under Construction,Unfurnished,East,4,High Floor,Medium,5.61
vesu,4,3200,Resale,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.9
vesu,4,3513,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.47
vesu,4,3818,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,1.96
vesu,4,1815,Resale,Ready to Move,Unfurnished,North - East,3,High Floor,Medium,1.9
pal,4,1956,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.64
vesu,3,2700,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,1.71
vesu,4,3500,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,2.11
pal,5,4000,New Property,Under Construction,Unfurnished,East,4,High Floor,Medium,1.99
adajan,4,3500,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.04
vesu,3,2829,New Property,Ready to Move,Unfurnished,North,2,Mid Floor,Medium,1.89
vesu,4,4000,Resale,Ready to Move,Unfurnished,South -West,3,Mid Floor,Medium,2.52
palanpur,3,1362,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,1.62
vesu,4,2057,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.9
vesu,4,5500,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,3.95
dumas road/hazira,4,2237,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.26
vesu,4,2041,Resale,Ready to Move,Unfurnished,South -West,3,Mid Floor,Medium,2.26
vesu,4,3851,Resale,Ready to Move,Furnished,East,3,High Floor,Medium,1.94
vesu,4,3100,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.82
dumas road/hazira,4,3581,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,2.01
dumas road/hazira,6,7600,New Property,Under Construction,Unfurnished,North,5,Mid Floor,High,6.76
pal,4,3800,Resale,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.85
vesu,4,2200,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,3.0
vesu,4,3200,Resale,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.76
vesu,4,3150,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.04
vesu,4,2475,New Property,Ready to Move,Unfurnished,North - East,3,Mid Floor,Medium,2.79
adajan,4,2269,New Property,Under Construction,Unfurnished,East,3,High Floor,Medium,2.15
vesu,4,5000,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,3.5
vesu,5,6140,New Property,Under Construction,Unfurnished,South -West,4,Mid Floor,Medium,4.23
athwalines,5,6300,New Property,Under Construction,Unfurnished,East,4,Mid Floor,Medium,3.96
pal,5,5700,New Property,Under Construction,Unfurnished,East,4,Mid Floor,Medium,3.99
vesu,4,3800,Resale,Ready to Move,Unfurnished,East,3,High Floor,Medium,2.84
vesu,5,3372,New Property,Under Construction,Unfurnished,South -West,4,Low Floor,Medium,5.5
vesu,4,3550,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,2.37
vesu,4,2184,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.87
vesu,5,5260,Resale,Under Construction,Unfurnished,West,4,Mid Floor,Medium,3.0
dumas road/hazira,4,2722,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.02
vesu,4,3285,New Property,Ready to Move,Unfurnished,South,3,Mid Floor,Medium,1.88
vesu,4,3336,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.22
vesu,4,2148,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,2.33
pal,4,2855,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.65
vesu,5,4351,New Property,Ready to Move,Unfurnished,South -West,4,Mid Floor,Medium,2.82
dumas road/hazira,4,4158,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,3.7
vesu,5,5700,New Property,Ready to Move,Unfurnished,East,4,Mid Floor,Medium,3.93
vesu,6,4477,New Property,Ready to Move,Unfurnished,East,5,High Floor,Medium,5.55
vesu,4,3882,Resale,Ready to Move,Semi-Furnished,South - East,3,Mid Floor,Medium,2.71
vesu,4,3810,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.47
vesu,4,2541,New Property,Under Construction,Unfurnished,North - East,3,Mid Floor,Medium,2.4
pal,4,2270,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.37
vesu,4,2460,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.97
vesu,3,2860,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,1.73
athwalines,5,9000,New Property,Under Construction,Unfurnished,South -West,4,High Floor,High,7.2
pal,4,3751,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.43
vesu,4,3047,New Property,Under Construction,Unfurnished,North,3,Mid Floor,Medium,1.8
vesu,4,3113,Resale,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.93
vesu,3,2650,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,1.65
pal,4,2596,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,2.52
vesu,5,5600,New Property,Under Construction,Unfurnished,East,4,Mid Floor,Medium,3.36
vesu,4,3047,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,1.86
vesu,4,3047,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.81
vesu,5,3236,New Property,Ready to Move,Unfurnished,East,4,Mid Floor,Medium,3.5
pal,3,2844,Resale,Ready to Move,Furnished,North - East,2,Mid Floor,Medium,2.81
vesu,4,4150,New Property,Ready to Move,Unfurnished,North,3,Low Floor,Medium,3.11
vesu,4,3810,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.8
vesu,4,3500,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.92
vesu,3,2450,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,1.8
vesu,5,6404,New Property,Under Construction,Unfurnished,East,4,High Floor,High,4.99
vesu,4,2860,New Property,Ready to Move,Unfurnished,North - East,3,Mid Floor,Medium,2.78
adajan,4,2178,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.98
vesu,4,2904,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,3.45
vesu,3,2650,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,1.64
adajan,4,3707,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.74
pal,4,4500,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.92
vesu,3,1664,New Property,Under Construction,Unfurnished,North - East,2,Mid Floor,Medium,1.66
vesu,4,3500,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,2.1
vesu,4,2090,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,2.58
althan,4,4350,Resale,Ready to Move,Unfurnished,West,3,Mid Floor,Medium,3.39
dumas road/hazira,4,2178,New Property,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,1.62
vesu,3,2890,Resale,Ready to Move,Furnished,South -West,2,Mid Floor,Medium,2.0
vesu,3,1786,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,1.8
vesu,4,3400,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.83
vesu,3,3000,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,2.02
vesu,5,5135,New Property,Under Construction,Unfurnished,East,4,Mid Floor,Medium,3.5
vesu,4,1815,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,1.84
vesu,4,4100,New Property,Ready to Move,Unfurnished,West,3,Mid Floor,Medium,2.7
athwalines,4,4158,Resale,Under Construction,Unfurnished,East,3,Low Floor,Medium,3.32
vesu,4,1797,New Property,Ready to Move,Unfurnished,North - East,3,High Floor,Medium,1.66
vesu,4,4351,New Property,Under Construction,Unfurnished,East,3,Mid Floor,Medium,2.48
vesu,4,3200,New Property,Under Construction,Unfurnished,South -West,3,Mid Floor,Medium,1.98
